title,author,publisher,publication_date,discount,price,url
比鬼故事更可怕的是你我身邊的故事 (電子書),少女老王,圓神,2020-04-01,,231,https://www.books.com.tw/products/E050065984?loc=P_0005_025
暖和和手套國,小川糸,圓神,2020-04-01,9,324,https://www.books.com.tw/products/0010852914?loc=P_0005_026
人生就求一次如魚得水：紐約金獎插畫家的自由生活提案,Cinyee Chiu,圓神,2020-03-01,9,333,https://www.books.com.tw/products/0010849863?loc=P_0005_027
島嶼來信：我能說的祕密,陶立夏,圓神,2020-03-01,9,324,https://www.books.com.tw/products/0010849888?loc=P_0005_028
人生就求一次如魚得水：紐約金獎插畫家的自由生活提案 (電子書),Cinyee Chiu,圓神,2020-03-01,,259,https://www.books.com.tw/products/E050064143?loc=P_0005_029
島嶼來信：我能說的祕密 (電子書),陶立夏,圓神,2020-03-01,,250,https://www.books.com.tw/products/E050064152?loc=P_0005_030
打造繁盛江戶的男人,門井慶喜,圓神,2020-02-01,9,342,https://www.books.com.tw/products/0010846841?loc=P_0005_031
印度諸神皆有戲：神魔、變身、情慾、戰鬥、創造、破壞的創意源頭,天竺奇譚,圓神,2020-02-01,9,261,https://www.books.com.tw/products/0010846854?loc=P_0005_032
雖然苦，還是想活成令人羨慕的樣子：那些在都會流淚築夢的女子們,王欣,圓神,2020-02-01,9,315,https://www.books.com.tw/products/0010846873?loc=P_0005_033
雖然苦，還是想活成令人羨慕的樣子：那些在都會流淚築夢的女子們 (電子書),王欣,圓神,2020-02-01,,245,https://www.books.com.tw/products/E050062718?loc=P_0005_034
重逢咖啡館,鄭華娟,圓神,2020-01-01,79,229,https://www.books.com.tw/products/0010843706?loc=P_0005_035
不只是旅行,黃麗穗,圓神,2020-01-01,9,306,https://www.books.com.tw/products/0010843708?loc=P_0005_036
你想在凌晨三點聽見誰的晚安,3am.talk,圓神,2020-01-01,9,315,https://www.books.com.tw/products/0010843719?loc=P_0005_037
你想在凌晨三點聽見誰的晚安 (電子書),3am.talk,圓神,2020-01-01,,245,https://www.books.com.tw/products/E050061890?loc=P_0005_038
重逢咖啡館 (電子書),鄭華娟,圓神,2020-01-01,,203,https://www.books.com.tw/products/E050061891?loc=P_0005_039
蜜蜂與遠雷,恩田陸,圓神,2020-01-01,9,449,https://www.books.com.tw/products/0010784511?loc=P_0005_040
二十一,陶晶瑩,圓神,2019-12-05,9,333,https://www.books.com.tw/products/0010840739?loc=P_0005_041
二十一【電子書獨家‧陶晶瑩親聲朗讀】 (電子書),陶晶瑩,圓神,2019-12-05,,259,https://www.books.com.tw/products/E050059781?loc=P_0005_042
魚夫人間味：邊吃邊說四十年,魚夫,圓神,2019-12-01,9,306,https://www.books.com.tw/products/0010840741?loc=P_0005_043
魚夫人間味：邊吃邊說四十年 (電子書),魚夫,圓神,2019-12-01,,238,https://www.books.com.tw/products/E050059780?loc=P_0005_044
愛呆西非連加恩【愛的接力版】,連加恩,圓神,2019-11-01,9,306,https://www.books.com.tw/products/0010837333?loc=P_0005_045
愛呆西非連加恩【愛的接力版】 (電子書),連加恩,圓神,2019-11-01,,238,https://www.books.com.tw/products/E050056687?loc=P_0005_046
請照顧我媽媽【全球搶讀.插畫書封版】,申京淑,圓神,2019-11-01,9,270,https://www.books.com.tw/products/0010837347?loc=P_0005_047
從宜蘭海港孩子到英國企業楷模：貨車女孩蔡惠玉的精采人生,"楊佳恬,蔡惠玉",圓神,2019-10-01,9,243,https://www.books.com.tw/products/0010834473?loc=P_0005_048
從宜蘭海港孩子到英國企業楷模：貨車女孩蔡惠玉的精采人生 (電子書),"楊佳恬,蔡惠玉",圓神,2019-10-01,,189,https://www.books.com.tw/products/E050054782?loc=P_0005_049
蔡桑說怪：日本神話與靈界怪談，有時還有臺灣,蔡亦竹,圓神,2019-10-01,7,280,https://www.books.com.tw/products/0010834484?loc=P_0005_050
蔡桑說怪：日本神話與靈界怪談，有時還有臺灣 (電子書),蔡亦竹,圓神,2019-10-01,,280,https://www.books.com.tw/products/E050054549?loc=P_0005_051
一百萬個祝福：連爸爸畫中有話,連上恩,圓神,2019-09-01,9,288,https://www.books.com.tw/products/0010831749?loc=P_0005_052
我用打工學習這個世界：有關挫折、辛酸、老闆、現實社會，以及工作的27種樣貌,黃海樹,圓神,2019-09-01,9,261,https://www.books.com.tw/products/0010831764?loc=P_0005_053
一百萬個祝福：連爸爸畫中有話 (電子書),連上恩,圓神,2019-09-01,,224,https://www.books.com.tw/products/E050052762?loc=P_0005_054
擁抱刺蝟孩子：重啟連結、修復情感、給出力量的關鍵陪伴與對話,陳志恆,圓神,2019-09-01,79,252,https://www.books.com.tw/products/0010831791?loc=P_0005_055
擁抱刺蝟孩子：重啟連結、修復情感、給出力量的關鍵陪伴與對話 (電子書),陳志恆,圓神,2019-09-01,,224,https://www.books.com.tw/products/E050052763?loc=P_0005_056
預言貓收養了我,愛德華多．哈烏雷吉,圓神,2019-08-01,9,243,https://www.books.com.tw/products/0010828334?loc=P_0005_057
人生的身段：堅毅慈心唐美雲,唐美雲,圓神,2019-07-01,9,306,https://www.books.com.tw/products/0010825443?loc=P_0005_058
