title,author,publisher,publication_date,discount,price
圖像思考的練習：這樣做，推動10億生意、調解糾紛、做出成果 (電子書),平井孝志,先覺,2021-04-01,,250
孤獨世紀：衝擊全球商業模式，危及生活、工作與健康的疏離浪潮,諾瑞娜．赫茲,先覺,2021-03-03,9,414
盲點：哈佛、華頓商學院課程選讀，為什麼傳統決策會失敗，而我們可以怎麼做?,"安．E．坦柏倫塞,麥斯．貝澤曼",先覺,2021-03-03,9,297
孤獨世紀：衝擊全球商業模式，危及生活、工作與健康的疏離浪潮 (電子書),諾瑞娜．赫茲,先覺,2021-03-03,,322
盲點：哈佛、華頓商學院課程選讀，為什麼傳統決策會失敗，而我們可以怎麼做? (電子書),"安．E．坦柏倫塞,麥斯．貝澤曼",先覺,2021-03-03,,231
成功的反思：混亂世局中，我們必須重新學習的一堂課,邁可．桑德爾,先覺,2021-02-01,79,387
成功的反思：混亂世局中，我們必須重新學習的一堂課 (電子書),邁可．桑德爾,先覺,2021-02-01,,343
謝謝你的指教：哈佛溝通專家教你轉化負面意見，成就更好的自己 (電子書),"席拉．西恩,道格拉斯．史東",先覺,2021-01-01,,322
謝謝你的指教：哈佛溝通專家教你轉化負面意見，成就更好的自己,"席拉．西恩,道格拉斯．史東",先覺,2021-01-01,9,414
隱性反骨：持續思辨、否定自我的教授，帶你逆想人生,李忠憲,先覺,2021-01-01,9,360
隱性反骨：持續思辨、否定自我的教授，帶你逆想人生 (電子書),李忠憲,先覺,2021-01-01,,280
鏡與窗談判課：哥大教授、聯合國談判專家，教你用10個問題談成任何事 (電子書),愛麗珊德拉‧卡特,先覺,2020-11-01,,273
鏡與窗談判課：哥大教授、聯合國談判專家，教你用10個問題談成任何事,愛麗珊德拉‧卡特,先覺,2020-11-01,66,257
人生路引：我從閱讀中練就的28個基本功,楊斯棓,先覺,2020-10-01,79,284
人生路引：我從閱讀中練就的28個基本功 (電子書),楊斯棓,先覺,2020-10-01,,250
閃電崩盤：一兆美元的真相!全球追捕，史上最神祕的金融罪犯,連恩．范恩,先覺,2020-09-01,7,287
錢買不到的東西：金錢與正義的攻防【暢銷十萬冊典藏版】,邁可．桑德爾,先覺,2020-09-01,9,360
閃電崩盤：一兆美元的真相!全球追捕，史上最神祕的金融罪犯 (電子書),連恩．范恩,先覺,2020-09-01,,287
錢買不到的東西：金錢與正義的攻防【暢銷十萬冊典藏版】 (電子書),邁可．桑德爾,先覺,2020-09-01,,280
精準思考：跨領域才是關鍵!洞悉問題本質，找到最佳答案,成甲,先覺,2020-08-01,9,288
精準思考：跨領域才是關鍵!洞悉問題本質，找到最佳答案【獨家附作者解說專文+影片】 (電子書),成甲,先覺,2020-08-01,,224
頂尖名校必修的理性談判課：哈佛、華頓商學院、MIT指定閱讀，提高人生勝率的經典指南 (電子書),"瑪格里特．妮爾,麥斯．貝澤曼",先覺,2020-07-01,,224
頂尖名校必修的理性談判課： 哈佛、華頓商學院、MIT指定閱讀，提高人生勝率的經典指南,"瑪格里特．妮爾,麥斯．貝澤曼",先覺,2020-07-01,79,252
潛入亞馬遜：了解全球獨大電商的最後一塊拼圖,橫田增生,先覺,2020-07-01,9,351
你怎麼過今天，就怎麼過今生：哈佛、康乃爾教授都在用的STORIES時間整理術，7個方法過更好的生活,詹姆斯・沃曼,先覺,2020-06-01,9,324
上級國民/下級國民：當加薪、買房、搭郵輪、談戀愛、休長假永遠與你無關，還能怎麼辦?,橘玲,先覺,2020-05-01,9,279
一個明亮的人，如何能理解黑暗?：《罪行》德國律師的思索,費迪南．馮．席拉赫,先覺,2020-04-01,79,244
一個明亮的人，如何能理解黑暗?──《罪行》德國律師的思索 (電子書),費迪南．馮．席拉赫,先覺,2020-04-01,,217
我愛身分地位 (電子書),艾倫‧狄波頓,先覺,2020-03-01,,245
玩心設計：改變千萬人的美好體驗，工作和生活的設計都該如此有趣!,陳威帆,先覺,2020-03-01,9,396
