title,author,publisher,publication_date,discount,price
改變人生的最強呼吸法!：連氣喘都能改善，還能順帶瘦身!,派屈克．麥基翁,如何,2018-07-01,9,297
一開口撩人又聊心：被異性喜歡，被同性肯定，不冷場、不辭窮、不尷尬、不被句點的人際互動課 (電子書),瑪那熊（陳家維）,如何,2018-07-01,,210
改變人生的最強呼吸法!：連氣喘都能改善，還能順帶瘦身! (電子書),派屈克．麥基翁,如何,2018-07-01,,231
討拍取暖詩心瘋：一本書讀懂經典古詩人(附QR Code全文情境朗讀音檔),大老振,如何,2018-06-01,9,252
母愛真火大!莎拉媽媽的犀利人母爆笑日常 (電子書),莎拉媽媽（陳伊思）,如何,2018-05-01,,196
母愛真火大!莎拉媽媽的犀利人母爆笑日常,莎拉媽媽（陳伊思）,如何,2018-05-01,9,252
不換位置，也要換腦袋：斜槓時代必備的換位思考力,紀坪,如何,2018-05-01,9,261
不換位置，也要換腦袋：斜槓時代必備的換位思考力 (電子書),紀坪,如何,2018-05-01,,203
一休陪你一起愛瘦身2：最多人問的45天減脂計畫，吃飽還能瘦的美味秘密大公開(附QR Code料理示範影片),李一休,如何,2018-04-01,79,339
超越地表最強小編!社群創業時代：FB+IG經營這本就夠，百萬網紅的實戰筆記,冒牌生,如何,2018-04-01,79,221
超越地表最強小編!社群創業時代：FB+IG經營這本就夠，百萬網紅的實戰筆記 (電子書),冒牌生,如何,2018-04-01,,196
一休陪你一起愛瘦身2：最多人問的45天減脂計畫，吃飽還能瘦的美味秘密大公開 (電子書),李一休,如何,2018-04-01,,300
跟著Ryuuu TV學日文看日本：Ryu & Yuma的日語生活實境秀 (電子書),"Ryu,Yuma",如何,2018-03-01,,259
跟著Ryuuu TV學日文看日本：Ryu & Yuma的日語生活實境秀(附MP3),"Ryu,Yuma",如何,2018-03-01,9,333
場景設定創意辭海：225個故事舞台，創作靈感一翻就來 (電子書),"安琪拉‧艾克曼,貝嘉‧帕莉西",如何,2018-03-01,,406
場景設定創意辭海：225個故事舞台，創作靈感一翻就來,"安琪拉‧艾克曼,貝嘉‧帕莉西",如何,2018-02-01,9,522
搞懂17個關鍵文法，日語大跳級!跟著王可樂，打通學習任督二脈 (電子書),王可樂,如何,2017-12-01,,231
日語助詞王：王可樂妙解20個關鍵，日檢不失分 (電子書),"原田千春,王可樂",如何,2017-12-01,,280
顧好下肢筋膜，全身痠痛out!：鐵人醫師最想告訴你的復健眉角,侯鐘堡,如何,2017-11-01,9,324
街頭健身：倒三角、胸大肌、人魚線‧勇氣自信一練上身 (電子書),"彭羿旻（Vic）,邱仁政（Leon）",如何,2017-09-01,,238
街頭健身：倒三角、胸大肌、人魚線‧勇氣自信一練上身,"彭羿旻（Vic）,邱仁政（Leon）",如何,2017-09-01,7,238
這個動作，那個情形，日語怎麼說?：桃太郎的實用動詞組句，教你日語好到花瘋(附MP3光碟),冨永圭太,如何,2017-09-01,9,333
這個動作，那個情形，日語怎麼說?：桃太郎的實用動詞組句，教你日語好到花瘋(附音檔) (電子書),冨永圭太,如何,2017-09-01,,259
因為健身，我正喜歡上自己：曲線女神Gina的體脂15%塑身祕訣,Gina,如何,2017-08-01,9,342
解憂相談室：從情緒整理、轉化想法，找回自信與自在的人生,林耕新,如何,2017-08-01,9,243
羽健身：小資女變小隻女!輕肌力訓練讓你一瘦到位 (電子書),丁小羽,如何,2017-07-01,,252
羽健身：小資女變小隻女!輕肌力訓練讓你一瘦到位,丁小羽,如何,2017-07-01,9,324
達令的法語小樂園：法國人妻用彩圖與俗諺，帶你領略道地的法式生活,Renren,如何,2017-07-01,9,288
